,tweet_dt,id,username,name,tweet
8350,2022-02-13,1494100712619446275,LeadStoriesCom,Lead Stories,"Fact Check: 'FEMA Camp Containers' Photo Is From China, NOT The 2022 'SuperbOwl' Halftime Show https://t.co/a4qq0rcuRC"
8351,2022-02-13,1494100610836275203,scampbe,scampbe,@1Preservation23 I didn’t- best halftime show ever.
8352,2022-02-13,1494100557073629187,daspigg,holy crow,"@yaCourbet During Super Bowl halftime show, the final shot of all performers, I thought that would be one of those… https://t.co/CqzbXWQhmc"
8353,2022-02-13,1494100503944478724,Alice60311356,Alice,@SnoopDogg Phenomenal halftime show! 🤩🤩🤩
8354,2022-02-13,1494100345907204096,awfulgoblin7,BruceChandliss,@DevonESawa I would never wear a lets go brandon hat etc but i also thought the halftime show was pretty lame.
8355,2022-02-13,1494100290231947265,durden423,Torry,"@BadSpellcheck_ Conservatives complain about anything that goes against their status quo. 

And yes, there were som… https://t.co/qQHIO0RT6V"
8356,2022-02-13,1494100106781593600,FreezeTagOne,Ziggi,Rolf Zuckowski bitte in Pepsi Super Bowl LVII Halftime Show
8357,2022-02-13,1494100046421368837,el_blair,lala,They need to give us a lil wayne/Drake/Jay z/Kanye super bowl halftime show next year
8358,2022-02-13,1494099871506341889,whirlysound,ok ok,I better see a Jay Z &amp; Kanye West halftime show before I die.
8359,2022-02-13,1494099845128278020,iamthejedi,Deji,3 days late but that Superbowl halftime show was lit
8360,2022-02-13,1494099628454785030,Ricardo86201856,Ricardo Banks,@SnoopDogg I like that halftime show of snoop
8361,2022-02-13,1494099600831131657,TheRReport1,The R Report Magazine LLC,"The Game Agrees He Was Left Out of the Super Bowl Halftime Show
https://t.co/vJlUZAcUAK"
8362,2022-02-13,1494099459139162116,Kitsunashi17,Kitsu @ 将綺くん大好き💕,"USA Junefure rejoice!!

Masaki watched the Super Bowl Halftime Show!! 🤘🎉🎊🏈🎤🎧

(...and broke his headphones one day… https://t.co/0efl5e4drx"
8363,2022-02-13,1494099448120684553,ABC7Chicago,ABC 7 Chicago,"Dr. Dre talked about Eminem taking a knee during the 2022 Super Bowl LVI halftime show with Snoop Dogg, Kendrick La… https://t.co/A7FUWWYRCj"
8364,2022-02-13,1494099346060718085,AyoLaser,Laser ,That halftime show was legendary.
8365,2022-02-13,1494099309356269569,CancelFascism,🚫Cancel Fascism🚫,@trustabro @700R____ @shwizzzzle @NakedChickenFRC I wonder if he liked the halftime show
8366,2022-02-13,1494099275516575745,sekiyuji,sekiyuji,"» Dr. Dre, Snoop Dogg, Eminem, Mary J. Blige &amp; Kendrick Lamar FULL Pepsi Super Bowl LVI Halftime Show - YouTube https://t.co/S0lqS7VYc9"
8367,2022-02-13,1494099186228334592,abdelrahmankas,Abdelrahman elkassas,Idk why people wanted a tupac hologram fel halftime show kanet hatkoon creepy wa ghareeba keda
8368,2022-02-13,1494099161112842240,bhris_cecker316,Chris Becker,OSU students: It’s been a few days now. Thoughts on the halftime show?
8369,2022-02-13,1494099156780171265,julzkenn,Jazmine Sullivan's Vocal Cords,watching Beyoncé's 2013 halftime show and I'm finna start tearing up. like wow she really ate that and I'm gay af. 😭😭😭
8370,2022-02-13,1494099058499203076,CharlieL_,Charlie L 🎼,@machinegunkelly legit question? Did you watch the Super Bowl Halftime Show?
8371,2022-02-13,1494099032633126912,JSeibContreras,Jen Contreras,"Stop the Generational Hateration.  #GenXLife

Super Bowl halftime show performers spark age-old generational war… https://t.co/obJq6J030E"
8372,2022-02-13,1494099028681932805,ladybridge,Lady Bridge,"@AlexScott @NFL YES, Alex Scott, SUPERBOWL LVI, 2022, One of the best SuperBowl games and Halftime show ever ! 👍😃… https://t.co/R0HgETtNdR"
8373,2022-02-13,1494098994921984000,AdrianSurname,Amphotericin B,The Super Bowl halftime show was a Verzuz royale
8374,2022-02-13,1494098800469692418,dogs559,BIG DOG,@EnglishDanYT No me and I'm over 50 i thought it was the best halftime show.
8375,2022-02-13,1494098741699104770,folklilmore,lil,the next super bowl is in my state and i keep seeing articles saying taylor should do the halftime show like like d… https://t.co/SmntB5GuQy
8376,2022-02-13,1494098719431704580,Mozartiana,Diana Molina,@CrayonToCrayon For the Super Bowl XXVII halftime show featured by his pal Michael Jackson…
8377,2022-02-13,1494098615849127939,hammaraw,Hammaraw,"Wish i was live at the SuperBowl Halftime show man , just to see Snoop cripwalk 🐐"
8378,2022-02-13,1494098422814683143,EricVanderslice,Pfizer Soze,"I skipped the halftime show, but I saw Dre put up 7 mil to put the show on.. If I had to put up the bread the whole… https://t.co/NhpQWKt8o5"
8379,2022-02-13,1494098396067643392,chelsrae516,Chelsea Rae,Payson said she wishes she could watch the halftime show again…my grams whipped her head and goes why? Apparently g… https://t.co/Rq6QKsiIVD
8380,2022-02-13,1494098353071796229,PrettyW64108370,Michael Frayser,Can we talk bout black people selling us out NFL halftime show anyone?should we boycott black people who value money over black family?
8381,2022-02-13,1494098326416986117,LiamStrongman,Liam Strongman,"A bit late the party here, but I wanted to express my love for the Super Bowl halftime show that was. What an incre… https://t.co/mjH6tnanGJ"
8382,2022-02-13,1494098296561975302,GalaxianNight,Galaxian Night Cosplay,"@ShaniaTwain  hear us out a 90s theme Superbowl halftime show where first words we hear are ""let's go girls"" this w… https://t.co/VxKtipvPTF"
8383,2022-02-13,1494098286931693568,BenRich61559570,Ben Richards,@MarkEnnis His halftime show tweets felt like a social experiment
8384,2022-02-13,1494098084221317127,larsychan,LRS#STOPENI5EVER,Imagine if NFL went the other way and hired TikTok musicians for the halftime show lol imagine 500 people singing f… https://t.co/GxqMhiHU7d
8385,2022-02-13,1494097807493550081,maurygrundy,Maury Grundy,The audacity! 😂 Opinion | Why Gen X was so enraged by millennials' Super Bowl halftime ownership https://t.co/jVA7hw1bmd via @NBCNewsTHINK
8386,2022-02-13,1494097603004223488,bobtheretired,Bob,"@WSJ @WSJopinion @jasonrileywsj A party that has a collective meltdown because of a Super Bowl halftime show, wants… https://t.co/1pxZjpNxqp"
8387,2022-02-13,1494097596775813122,webcav1,Carlos V,"first hand knowledge here...Great cheeseburgers, decent pastrami, and excellent chili cheese fries. if you know...y… https://t.co/7MpDtpcex6"
8388,2022-02-13,1494097103185977344,chaixlai,Chai 🦀🦀,IM AT PT AND THESE DAMN FUCKING WHITE PEOPLE ARE SAYING THAT KENDRICK LAMAR'S PERFORMANCE WASN'T GOOD AND HE SHOULD… https://t.co/U6ka7ojw2R
8389,2022-02-13,1494096980418899969,jeffstone500,Jeff Stone 🌲,still laughing at “lil’ busta’s” as a self-edit during the halftime show.
8390,2022-02-13,1494096962596999169,ElectricCharroi,tinker⚡ (Noyou'readork) 🍊,"@CozomoMedici Best halftime show ever!!!! (And I’ve already rewatched it several times) 
fn legends!"
8391,2022-02-13,1494096942917464072,Complex,Complex,Mary J. Blige insists she’s unfazed by the haters. https://t.co/sJy64kMInT
8392,2022-02-13,1494096934293934081,Carson_East_52,Carson East,If Eminem would’ve had more than 1 song and Snoop sang Gin and Juice…I would’ve been much happier with the Super Bowl halftime show.
8393,2022-02-13,1494096916396847110,NJNoona2,NJNoona,"@Se0kedInLuv Let’s just say, I was partying to the songs from the Super Bowl halftime show when I was in college! 😂"
8394,2022-02-13,1494096884360572930,Wiesel_Flink,Absurde_Existenz,"@CNN The Taking the knee of Eminem, was the best Scene on the Halftime Show. The bad playback &amp; sound problems (no… https://t.co/6aix9p6tf3"
8395,2022-02-13,1494096871538712576,highly_craved,Highly Craved,Ranking Every Super Bowl Halftime Show (Since 2010) https://t.co/WAeZj5toO2 via @YouTube
8396,2022-02-13,1494096813850255361,plainjanepapi,james,"New video out, ranking every Super Bowl performance since 2010!
Ranking Every Super Bowl Halftime Show (Since 2010)… https://t.co/zePvJ42fAT"
8397,2022-02-13,1494096464028454914,robowho1,robowho,"https://t.co/vw15GGcUj6 Dr. Dre, Snoop Dogg and More Stars Set to Headline 2022 Super Bowl Halftime Show https://t.co/FeSl8Gxo0e"
8398,2022-02-13,1494096439613562881,VaquestIsGreat,Vaquest,The halftime show was incredible... but if it was just Kendrick it could've been better
8399,2022-02-13,1494096430461562886,WillKelly34,Will Kelly,@theneedledrop Halftime show put me back on Recovery and it’s so fucking good https://t.co/39PmVCwjgu
8400,2022-02-13,1494096104752922629,pedroarivera2,Pedro A. Rivera,Our partners housed at @ROCKLITITZ again represented Lancaster on the global stage.  Wow 🙌🏽 https://t.co/lwhN0vdit7
8401,2022-02-13,1494096090706104321,neburzenitram71,Ruben Martinez,"@jimbojonestown Back in the day I was all about the Wu and ALL of the off-shoots.  So yes, I have this CD in my col… https://t.co/Ta3Les4iXu"
8402,2022-02-13,1494096031138541571,Jimnaze,Jimnaze,🤯 Super Bowl Revenue Numbers Shot Way Up &amp; Dr. Dre’s Records Performed At The HalfTime Show Along With Co-Produced… https://t.co/eUD8LfCOH7
8403,2022-02-13,1494095987849244674,G10538675,Macy Adam,"Former Chiefs RB Larry Johnson Says LeBron Worships Lucifer, Calls Super Bowl Halftime Show A ‘Child Sex Traffickin… https://t.co/CPnuD2TLVX"
8404,2022-02-13,1494095966798229504,samawesome,Samantha Scheiner 📚,"My 4yo just asked to watch the Super Bowl halftime show again and I am so proud 🥲 

Also I am still giggling about “Dr Dre little busters” 😆"
8405,2022-02-13,1494095957918724098,Dora82133851,DoraPascan,"Bawling my eyes out in the work restroom, watching the halftime show, imagine being there 😭😭😭💔💔💔💔💔💔💔 🎧🎵🎶 https://t.co/nBUjKoDrIx"
8406,2022-02-13,1494095931645513730,YHSBoosters,YHS Wildcat Boosters,Wildcat Halftime Show: Noah Gennaro from downtown! 🏀🐾 @york_girlsbball @yorkhoops_boys @YorkHSPrincipal… https://t.co/NowTEVuoET
8407,2022-02-13,1494095880516816898,MrMiller23,Mr. M,@Sandraljones9 I didn't like the halftime show and I wasn't at the insurrection on Jan 6. The two are completely un… https://t.co/1ptXlwY7nQ
