,tweet_dt,id,lat,long,username,name,tweet,geo
0,2022-02-13,1492939678068056065,-84.2124192,34.0750988,Coyote_Careers,CoyoteCareers,"Want to work at Coyote Logistics? We're hiring in Alpharetta, GA! Click for details: https://t.co/sCAih7zN2R #jointhepack #BusinessMgmt",True
1,2022-02-13,1492939304645152769,-84.45810824,33.93529933,HitNetwork_,TJ Shedd,Our first week at the HIT factory is in the books and our team is feeling #spicy #bullish #messy #sensational… https://t.co/1Ng4wKB0cU,True
2,2022-02-13,1492938808471420929,-84.3889,33.7566,BenRayPhoto11,Ben Ray,"Go Rams!
@danilynn2424 @ Atlanta, Georgia https://t.co/RD3Dvyr63B",True
3,2022-02-13,1492938577939939332,-84.3889,33.7566,AmourFoux1,Sheek,"Just posted a photo @ Atlanta, Georgia https://t.co/2AIg8CBf4q",True
